Feature-Set;NSHAP-Value
age,diabetes,cerebrovascular.disease;0.0004
age,diabetes,hepatitis;0.0004
age,diabetes,endstage.renal.disease;0.0026
age,diabetes,chronic.kidney.disease;-0.0006
age,diabetes,asthma;0.0011
age,diabetes,copd;0.0010
age,diabetes,dementia;-0.0007
age,diabetes,cancer;0.0002
age,coronary.artery.disease,chf;0.0080
age,coronary.artery.disease,cerebrovascular.disease;0.0026
age,coronary.artery.disease,hepatitis;0.0003
age,coronary.artery.disease,endstage.renal.disease;0.0013
age,coronary.artery.disease,chronic.kidney.disease;0.0028
age,coronary.artery.disease,asthma;0.0020
age,coronary.artery.disease,copd;0.0007
age,coronary.artery.disease,dementia;0.0032
age,coronary.artery.disease,cancer;0.0020
age,chf,cerebrovascular.disease;-0.0002
age,chf,hepatitis;0.0003
age,chf,endstage.renal.disease;0.0011
age,chf,chronic.kidney.disease;0.0007
age,chf,asthma;0.0009
age,chf,copd;0.0002
age,chf,dementia;0.0001
age,chf,cancer;-0.0007
age,cerebrovascular.disease,hepatitis;-0.0000
age,cerebrovascular.disease,endstage.renal.disease;0.0002
age,cerebrovascular.disease,chronic.kidney.disease;0.0005
age,cerebrovascular.disease,asthma;0.0003
age,cerebrovascular.disease,copd;0.0007
age,cerebrovascular.disease,dementia;0.0008
age,cerebrovascular.disease,cancer;0.0003
age,hepatitis,endstage.renal.disease;0.0005
age,hepatitis,chronic.kidney.disease;0.0000
age,hepatitis,asthma;-0.0000
age,hepatitis,copd;-0.0000
age,hepatitis,dementia;0.0002
age,hepatitis,cancer;0.0000
age,endstage.renal.disease,chronic.kidney.disease;0.0004
age,endstage.renal.disease,asthma;-0.0002
age,endstage.renal.disease,copd;0.0001
age,endstage.renal.disease,dementia;0.0001
age,endstage.renal.disease,cancer;0.0001
age,chronic.kidney.disease,asthma;0.0000
age,chronic.kidney.disease,copd;0.0001
age,chronic.kidney.disease,dementia;-0.0003
age,chronic.kidney.disease,cancer;0.0004
age,asthma,copd;-0.0005
age,asthma,dementia;0.0001
age,asthma,cancer;0.0000
age,copd,dementia;0.0004
age,copd,cancer;0.0000
age,dementia,cancer;0.0006
race,sex,hypertension;0.0059
race,sex,hyperlipidemia;0.0098
race,sex,diabetes;0.0265
race,sex,coronary.artery.disease;-0.0018
race,sex,chf;0.0025
race,sex,cerebrovascular.disease;0.0042
race,sex,hepatitis;-0.0002
race,sex,endstage.renal.disease;0.0038
race,sex,chronic.kidney.disease;0.0026
race,sex,asthma;0.0020
race,sex,copd;-0.0001
race,sex,dementia;0.0027
race,sex,cancer;0.0023
race,hypertension,hyperlipidemia;0.0011
race,hypertension,diabetes;0.0017
race,hypertension,coronary.artery.disease;-0.0046
race,hypertension,chf;-0.0030
race,hypertension,cerebrovascular.disease;0.0005
race,hypertension,hepatitis;-0.0013
race,hypertension,endstage.renal.disease;0.0003
race,hypertension,chronic.kidney.disease;0.0004
race,hypertension,asthma;-0.0004
race,hypertension,copd;-0.0017
race,hypertension,dementia;-0.0007
race,hypertension,cancer;0.0006
race,hyperlipidemia,diabetes;0.0142
race,hyperlipidemia,coronary.artery.disease;0.0043
race,hyperlipidemia,chf;0.0022
race,hyperlipidemia,cerebrovascular.disease;0.0010
race,hyperlipidemia,hepatitis;0.0003
race,hyperlipidemia,endstage.renal.disease;0.0010
race,hyperlipidemia,chronic.kidney.disease;0.0026
race,hyperlipidemia,asthma;0.0007
race,hyperlipidemia,copd;0.0002
race,hyperlipidemia,dementia;-0.0001
race,hyperlipidemia,cancer;0.0011
race,diabetes,coronary.artery.disease;0.0123
race,diabetes,chf;0.0007
race,diabetes,cerebrovascular.disease;0.0008
race,diabetes,hepatitis;0.0007
race,diabetes,endstage.renal.disease;0.0025
race,diabetes,chronic.kidney.disease;0.0022
race,diabetes,asthma;0.0018
race,diabetes,copd;0.0005
race,diabetes,dementia;0.0005
race,diabetes,cancer;0.0016
race,coronary.artery.disease,chf;0.0027
race,coronary.artery.disease,cerebrovascular.disease;0.0008
race,coronary.artery.disease,hepatitis;0.0000
race,coronary.artery.disease,endstage.renal.disease;0.0009
race,coronary.artery.disease,chronic.kidney.disease;0.0033
race,coronary.artery.disease,asthma;-0.0000
race,coronary.artery.disease,copd;-0.0009
race,coronary.artery.disease,dementia;-0.0010
race,coronary.artery.disease,cancer;-0.0007
race,chf,cerebrovascular.disease;0.0006
race,chf,hepatitis;0.0001
race,chf,endstage.renal.disease;0.0015
race,chf,chronic.kidney.disease;0.0005
race,chf,asthma;-0.0001
race,chf,copd;0.0008
race,chf,dementia;0.0011
race,chf,cancer;0.0018
race,cerebrovascular.disease,hepatitis;0.0000
race,cerebrovascular.disease,endstage.renal.disease;0.0002
race,cerebrovascular.disease,chronic.kidney.disease;-0.0001
race,cerebrovascular.disease,asthma;0.0001
race,cerebrovascular.disease,copd;0.0005
race,cerebrovascular.disease,dementia;0.0011
race,cerebrovascular.disease,cancer;0.0003
race,hepatitis,endstage.renal.disease;0.0002
race,hepatitis,chronic.kidney.disease;-0.0000
race,hepatitis,asthma;0.0002
race,hepatitis,copd;0.0000
race,hepatitis,dementia;0.0001
race,hepatitis,cancer;0.0002
race,endstage.renal.disease,chronic.kidney.disease;-0.0002
race,endstage.renal.disease,asthma;0.0001
race,endstage.renal.disease,copd;-0.0000
race,endstage.renal.disease,dementia;0.0001
race,endstage.renal.disease,cancer;0.0001
race,chronic.kidney.disease,asthma;0.0004
race,chronic.kidney.disease,copd;0.0002
race,chronic.kidney.disease,dementia;0.0002
race,chronic.kidney.disease,cancer;0.0007
race,asthma,copd;0.0002
race,asthma,dementia;0.0002
race,asthma,cancer;-0.0000
race,copd,dementia;0.0001
race,copd,cancer;0.0005
race,dementia,cancer;0.0009
sex,hypertension,hyperlipidemia;0.0015
sex,hypertension,diabetes;0.0038
sex,hypertension,coronary.artery.disease;-0.0064
sex,hypertension,chf;-0.0036
sex,hypertension,cerebrovascular.disease;-0.0006
sex,hypertension,hepatitis;-0.0005
sex,hypertension,endstage.renal.disease;0.0003
sex,hypertension,chronic.kidney.disease;0.0004
sex,hypertension,asthma;0.0002
sex,hypertension,copd;-0.0028
sex,hypertension,dementia;-0.0009
sex,hypertension,cancer;0.0011
sex,hyperlipidemia,diabetes;0.0135
sex,hyperlipidemia,coronary.artery.disease;0.0154
sex,hyperlipidemia,chf;0.0048
sex,hyperlipidemia,cerebrovascular.disease;0.0015
sex,hyperlipidemia,hepatitis;0.0005
sex,hyperlipidemia,endstage.renal.disease;0.0013
sex,hyperlipidemia,chronic.kidney.disease;0.0028
sex,hyperlipidemia,asthma;0.0003
sex,hyperlipidemia,copd;-0.0005
sex,hyperlipidemia,dementia;0.0019
sex,hyperlipidemia,cancer;-0.0002
sex,diabetes,coronary.artery.disease;0.0140
sex,diabetes,chf;0.0032
sex,diabetes,cerebrovascular.disease;0.0015
sex,diabetes,hepatitis;0.0004
sex,diabetes,endstage.renal.disease;0.0012
sex,diabetes,chronic.kidney.disease;0.0019
sex,diabetes,asthma;0.0004
sex,diabetes,copd;0.0005
sex,diabetes,dementia;-0.0013
sex,diabetes,cancer;0.0000
sex,coronary.artery.disease,chf;0.0030
sex,coronary.artery.disease,cerebrovascular.disease;0.0021
sex,coronary.artery.disease,hepatitis;0.0002
sex,coronary.artery.disease,endstage.renal.disease;0.0007
sex,coronary.artery.disease,chronic.kidney.disease;0.0026
sex,coronary.artery.disease,asthma;0.0019
sex,coronary.artery.disease,copd;0.0011
sex,coronary.artery.disease,dementia;0.0005
sex,coronary.artery.disease,cancer;0.0036
sex,chf,cerebrovascular.disease;0.0011
sex,chf,hepatitis;0.0002
sex,chf,endstage.renal.disease;0.0015
sex,chf,chronic.kidney.disease;0.0016
sex,chf,asthma;0.0009
sex,chf,copd;0.0008
sex,chf,dementia;-0.0002
sex,chf,cancer;0.0009
sex,cerebrovascular.disease,hepatitis;-0.0000
sex,cerebrovascular.disease,endstage.renal.disease;0.0003
sex,cerebrovascular.disease,chronic.kidney.disease;0.0005
sex,cerebrovascular.disease,asthma;0.0000
sex,cerebrovascular.disease,copd;0.0004
sex,cerebrovascular.disease,dementia;-0.0000
sex,cerebrovascular.disease,cancer;-0.0001
sex,hepatitis,endstage.renal.disease;0.0005
sex,hepatitis,chronic.kidney.disease;0.0000
sex,hepatitis,asthma;-0.0000
sex,hepatitis,copd;-0.0000
sex,hepatitis,dementia;0.0002
sex,hepatitis,cancer;0.0001
sex,endstage.renal.disease,chronic.kidney.disease;0.0007
sex,endstage.renal.disease,asthma;0.0001
sex,endstage.renal.disease,copd;0.0002
sex,endstage.renal.disease,dementia;0.0003
sex,endstage.renal.disease,cancer;0.0001
sex,chronic.kidney.disease,asthma;0.0001
sex,chronic.kidney.disease,copd;0.0002
sex,chronic.kidney.disease,dementia;-0.0000
sex,chronic.kidney.disease,cancer;0.0002
sex,asthma,copd;0.0011
sex,asthma,dementia;-0.0001
sex,asthma,cancer;0.0000
sex,copd,dementia;0.0002
sex,copd,cancer;0.0003
sex,dementia,cancer;0.0005
hypertension,hyperlipidemia,diabetes;0.0009
hypertension,hyperlipidemia,coronary.artery.disease;0.0012
hypertension,hyperlipidemia,chf;-0.0002
hypertension,hyperlipidemia,cerebrovascular.disease;-0.0004
hypertension,hyperlipidemia,hepatitis;0.0000
hypertension,hyperlipidemia,endstage.renal.disease;0.0001
hypertension,hyperlipidemia,chronic.kidney.disease;0.0003
hypertension,hyperlipidemia,asthma;0.0003
hypertension,hyperlipidemia,copd;0.0003
hypertension,hyperlipidemia,dementia;0.0003
hypertension,hyperlipidemia,cancer;0.0001
hypertension,diabetes,coronary.artery.disease;0.0044
hypertension,diabetes,chf;0.0010
hypertension,diabetes,cerebrovascular.disease;-0.0004
hypertension,diabetes,hepatitis;0.0002
hypertension,diabetes,endstage.renal.disease;0.0013
hypertension,diabetes,chronic.kidney.disease;0.0007
hypertension,diabetes,asthma;0.0005
hypertension,diabetes,copd;-0.0002
hypertension,diabetes,dementia;0.0000
hypertension,diabetes,cancer;0.0003
hypertension,coronary.artery.disease,chf;-0.0006
hypertension,coronary.artery.disease,cerebrovascular.disease;-0.0002
hypertension,coronary.artery.disease,hepatitis;0.0001
hypertension,coronary.artery.disease,endstage.renal.disease;0.0010
hypertension,coronary.artery.disease,chronic.kidney.disease;0.0025
hypertension,coronary.artery.disease,asthma;0.0004
hypertension,coronary.artery.disease,copd;0.0004
hypertension,coronary.artery.disease,dementia;0.0004
hypertension,coronary.artery.disease,cancer;-0.0014
hypertension,chf,cerebrovascular.disease;0.0003
hypertension,chf,hepatitis;0.0001
hypertension,chf,endstage.renal.disease;0.0004
hypertension,chf,chronic.kidney.disease;0.0008
hypertension,chf,asthma;-0.0000
hypertension,chf,copd;-0.0001
hypertension,chf,dementia;-0.0007
hypertension,chf,cancer;0.0004
hypertension,cerebrovascular.disease,hepatitis;-0.0001
hypertension,cerebrovascular.disease,endstage.renal.disease;0.0001
hypertension,cerebrovascular.disease,chronic.kidney.disease;0.0002
hypertension,cerebrovascular.disease,asthma;-0.0000
